industry,value
Accommodation & food services,207639.0
Administrative & support services,69507.0
Agriculture,72087.0
"Agriculture, forestry, & fishing",105648.0
"Agriculture, forestry, & fishing support services",25518.0
Arts & recreation services,21927.0
Auxiliary,21777.0
Commercial fishing,1500.0
Computer systems design,52491.0
Construction,243729.0
Education & training,46179.0
"Electricity, gas, water, & waste services",8856.0
Finance,9750.0
Financial & insurance services,33582.0
"Food, beverage, & tobacco",50895.0
Forestry & logging,6711.0
Health care & social assistance,116154.0
Information media & telecommunications,23766.0
Insurance,2403.0
Machinery & equipment wholesaling,44760.0
Manufacturing,217662.0
Metal product,36120.0
Mining,4314.0
Motion picture,6858.0
Non-metallic mineral product,8409.0
Other machinery & equipment,11691.0
Other manufacturing,16149.0
Other professional scientific,187086.0
Other services,47796.0
Other wholesale trade,98742.0
"Petroleum, coal, chemical, & associated product",19263.0
"Printing, publishing, & recorded media",8493.0
"Professional, scientific, & technical services",239106.0
Publishing,9093.0
"Rental, hiring, & real estate services",46029.0
Retail trade,215895.0
Telecommunications,7428.0
"Textile, clothing, footwear, & leather",10707.0
Transport and industrial machinery & equipment,34467.0
"Transport, postal, & warehousing",61959.0
Wholesale trade,143802.0
Wood & paper product,21357.0
total,3709566.0
